n,alg,time
1000,b1,0.000002
1000,b1,0.000001
1000,b1,0.000001
1000,b1,0.000001
1000,b1,0.000001
1000,b1,0.000001
1000,b1,0.000001
1000,b1,0.000001
1000,b1,0.000002
1000,b1,0.000001
1100,b1,0.000001
1100,b1,0.000001
1100,b1,0.000001
1100,b1,0.000001
1100,b1,0.000002
1100,b1,0.000002
1100,b1,0.000001
1100,b1,0.000001
1100,b1,0.000001
1100,b1,0.000001
1200,b1,0.000001
1200,b1,0.000001
1200,b1,0.000001
1200,b1,0.000001
1200,b1,0.000002
1200,b1,0.000002
1200,b1,0.000002
1200,b1,0.000001
1200,b1,0.000002
1200,b1,0.000002
1300,b1,0.000001
1300,b1,0.000002
1300,b1,0.000001
1300,b1,0.000002
1300,b1,0.000001
1300,b1,0.000001
1300,b1,0.000001
1300,b1,0.000001
1300,b1,0.000002
1300,b1,0.000001
1400,b1,0.000001
1400,b1,0.000002
1400,b1,0.000001
1400,b1,0.000002
1400,b1,0.000001
1400,b1,0.000002
1400,b1,0.000004
1400,b1,0.000002
1400,b1,0.000002
1400,b1,0.000002
1500,b1,0.000002
1500,b1,0.000002
1500,b1,0.000002
1500,b1,0.000001
1500,b1,0.000002
1500,b1,0.000002
1500,b1,0.000001
1500,b1,0.000002
1500,b1,0.000001
1500,b1,0.000002
1600,b1,0.000002
1600,b1,0.000001
1600,b1,0.000001
1600,b1,0.000002
1600,b1,0.000002
1600,b1,0.000002
1600,b1,0.000002
1600,b1,0.000002
1600,b1,0.000003
1600,b1,0.000002
1700,b1,0.000002
1700,b1,0.000003
1700,b1,0.000003
1700,b1,0.000002
1700,b1,0.000002
1700,b1,0.000002
1700,b1,0.000002
1700,b1,0.000002
1700,b1,0.000002
1700,b1,0.000002
1800,b1,0.000011
1800,b1,0.000003
1800,b1,0.000002
1800,b1,0.000002
1800,b1,0.000003
1800,b1,0.000003
1800,b1,0.000003
1800,b1,0.000003
1800,b1,0.000003
1800,b1,0.000003
1900,b1,0.000003
1900,b1,0.000002
1900,b1,0.000002
1900,b1,0.000002
1900,b1,0.000002
1900,b1,0.000002
1900,b1,0.000002
1900,b1,0.000002
1900,b1,0.000003
1900,b1,0.000002
2000,b1,0.000002
2000,b1,0.000002
2000,b1,0.000003
2000,b1,0.000002
2000,b1,0.000002
2000,b1,0.000002
2000,b1,0.000002
2000,b1,0.000002
2000,b1,0.000002
2000,b1,0.000002
1000,b2,0.001275
1000,b2,0.001079
1000,b2,0.004166
1000,b2,0.001090
1000,b2,0.001072
1000,b2,0.001076
1000,b2,0.001081
1000,b2,0.001093
1000,b2,0.001067
1000,b2,0.001085
1100,b2,0.001279
1100,b2,0.001277
1100,b2,0.001318
1100,b2,0.001311
1100,b2,0.001304
1100,b2,0.001321
1100,b2,0.001298
1100,b2,0.001277
1100,b2,0.001280
1100,b2,0.001390
1200,b2,0.001776
1200,b2,0.001679
1200,b2,0.001683
1200,b2,0.001607
1200,b2,0.001702
1200,b2,0.001546
1200,b2,0.002096
1200,b2,0.001876
1200,b2,0.001554
1200,b2,0.001565
1300,b2,0.001890
1300,b2,0.001822
1300,b2,0.002029
1300,b2,0.001817
1300,b2,0.001826
1300,b2,0.001848
1300,b2,0.001822
1300,b2,0.001826
1300,b2,0.001917
1300,b2,0.001829
1400,b2,0.002198
1400,b2,0.002102
1400,b2,0.002607
1400,b2,0.002508
1400,b2,0.002180
1400,b2,0.002489
1400,b2,0.002215
1400,b2,0.002177
1400,b2,0.003181
1400,b2,0.002110
1500,b2,0.003075
1500,b2,0.002457
1500,b2,0.002454
1500,b2,0.002526
1500,b2,0.002395
1500,b2,0.002420
1500,b2,0.002430
1500,b2,0.002448
1500,b2,0.003586
1500,b2,0.002528
1600,b2,0.002985
1600,b2,0.002810
1600,b2,0.003758
1600,b2,0.002890
1600,b2,0.003873
1600,b2,0.002890
1600,b2,0.002793
1600,b2,0.002817
1600,b2,0.002742
1600,b2,0.003061
1700,b2,0.003189
1700,b2,0.003421
1700,b2,0.003296
1700,b2,0.003449
1700,b2,0.003093
1700,b2,0.003104
1700,b2,0.003102
1700,b2,0.003186
1700,b2,0.003101
1700,b2,0.003170
1800,b2,0.003568
1800,b2,0.003526
1800,b2,0.003713
1800,b2,0.003471
1800,b2,0.003493
1800,b2,0.003564
1800,b2,0.003552
1800,b2,0.003507
1800,b2,0.003496
1800,b2,0.003488
1900,b2,0.004252
1900,b2,0.004109
1900,b2,0.003911
1900,b2,0.003879
1900,b2,0.004036
1900,b2,0.004442
1900,b2,0.003891
1900,b2,0.004050
1900,b2,0.003923
1900,b2,0.004048
2000,b2,0.004429
2000,b2,0.005535
2000,b2,0.004518
2000,b2,0.004485
2000,b2,0.004327
2000,b2,0.004356
2000,b2,0.004344
2000,b2,0.004465
2000,b2,0.004357
2000,b2,0.004344
