n,alg,time
100,ver1,0.006133
100,ver2,0.005163
100,gsl,0.000818
100,ver1,0.005318
100,ver2,0.005097
100,gsl,0.000666
100,ver1,0.005520
100,ver2,0.005175
100,gsl,0.000732
100,ver1,0.005430
100,ver2,0.005732
100,gsl,0.000714
100,ver1,0.005545
100,ver2,0.004908
100,gsl,0.000925
100,ver1,0.005474
100,ver2,0.004960
100,gsl,0.000664
100,ver1,0.005133
100,ver2,0.005024
100,gsl,0.000796
100,ver1,0.005531
100,ver2,0.005758
100,gsl,0.000691
100,ver1,0.005127
100,ver2,0.005068
100,gsl,0.000700
100,ver1,0.005314
100,ver2,0.004918
100,gsl,0.000702
125,ver1,0.011402
125,ver2,0.010161
125,gsl,0.001289
125,ver1,0.010977
125,ver2,0.010116
125,gsl,0.001566
125,ver1,0.012082
125,ver2,0.009893
125,gsl,0.001343
125,ver1,0.011169
125,ver2,0.010148
125,gsl,0.001535
125,ver1,0.011154
125,ver2,0.009638
125,gsl,0.001346
125,ver1,0.011203
125,ver2,0.010272
125,gsl,0.001398
125,ver1,0.011297
125,ver2,0.010110
125,gsl,0.001269
125,ver1,0.012009
125,ver2,0.009725
125,gsl,0.001586
125,ver1,0.012173
125,ver2,0.009859
125,gsl,0.001808
125,ver1,0.012013
125,ver2,0.009821
125,gsl,0.001366
150,ver1,0.018409
150,ver2,0.017135
150,gsl,0.002369
150,ver1,0.018527
150,ver2,0.017400
150,gsl,0.002337
150,ver1,0.018865
150,ver2,0.017344
150,gsl,0.002377
150,ver1,0.018619
150,ver2,0.017112
150,gsl,0.002634
150,ver1,0.021945
150,ver2,0.017471
150,gsl,0.002586
150,ver1,0.018636
150,ver2,0.017708
150,gsl,0.002992
150,ver1,0.018496
150,ver2,0.017217
150,gsl,0.002529
150,ver1,0.018976
150,ver2,0.017629
150,gsl,0.002468
150,ver1,0.018717
150,ver2,0.016853
150,gsl,0.002745
150,ver1,0.018766
150,ver2,0.017330
150,gsl,0.002383
175,ver1,0.031380
175,ver2,0.027191
175,gsl,0.004191
175,ver1,0.033839
175,ver2,0.027694
175,gsl,0.004260
175,ver1,0.032751
175,ver2,0.027304
175,gsl,0.004813
175,ver1,0.033547
175,ver2,0.030368
175,gsl,0.003837
175,ver1,0.032250
175,ver2,0.027807
175,gsl,0.004529
175,ver1,0.032366
175,ver2,0.028725
175,gsl,0.003951
175,ver1,0.032996
175,ver2,0.028110
175,gsl,0.004569
175,ver1,0.032845
175,ver2,0.028076
175,gsl,0.004024
175,ver1,0.033663
175,ver2,0.027839
175,gsl,0.004236
175,ver1,0.032421
175,ver2,0.028418
175,gsl,0.004515
200,ver1,0.051613
200,ver2,0.042020
200,gsl,0.005924
200,ver1,0.052756
200,ver2,0.043024
200,gsl,0.006593
200,ver1,0.053249
200,ver2,0.043522
200,gsl,0.006310
200,ver1,0.051098
200,ver2,0.044289
200,gsl,0.006400
200,ver1,0.052509
200,ver2,0.042724
200,gsl,0.006792
200,ver1,0.054197
200,ver2,0.042991
200,gsl,0.007244
200,ver1,0.051500
200,ver2,0.041391
200,gsl,0.006301
200,ver1,0.049164
200,ver2,0.041905
200,gsl,0.006456
200,ver1,0.057910
200,ver2,0.041926
200,gsl,0.006316
200,ver1,0.053518
200,ver2,0.042034
200,gsl,0.006383
225,ver1,0.075717
225,ver2,0.061796
225,gsl,0.008823
225,ver1,0.082176
225,ver2,0.060633
225,gsl,0.009495
225,ver1,0.080904
225,ver2,0.060000
225,gsl,0.009443
225,ver1,0.075249
225,ver2,0.059398
225,gsl,0.009286
225,ver1,0.074594
225,ver2,0.059199
225,gsl,0.009384
225,ver1,0.077556
225,ver2,0.062867
225,gsl,0.009368
225,ver1,0.077547
225,ver2,0.061226
225,gsl,0.009619
225,ver1,0.081712
225,ver2,0.059288
225,gsl,0.009132
225,ver1,0.076129
225,ver2,0.059894
225,gsl,0.009139
225,ver1,0.076046
225,ver2,0.059321
225,gsl,0.008834
250,ver1,0.115006
250,ver2,0.080863
250,gsl,0.011614
250,ver1,0.121543
250,ver2,0.083105
250,gsl,0.012782
250,ver1,0.120873
250,ver2,0.081992
250,gsl,0.012128
250,ver1,0.119397
250,ver2,0.082650
250,gsl,0.013075
250,ver1,0.108372
250,ver2,0.083536
250,gsl,0.013045
250,ver1,0.112674
250,ver2,0.083657
250,gsl,0.013075
250,ver1,0.113781
250,ver2,0.085567
250,gsl,0.011769
250,ver1,0.113563
250,ver2,0.082309
250,gsl,0.012335
250,ver1,0.112068
250,ver2,0.082699
250,gsl,0.011977
250,ver1,0.114623
250,ver2,0.083369
250,gsl,0.013026
275,ver1,0.149196
275,ver2,0.111800
275,gsl,0.015661
275,ver1,0.150433
275,ver2,0.110663
275,gsl,0.016489
275,ver1,0.147010
275,ver2,0.118723
275,gsl,0.017412
275,ver1,0.161515
275,ver2,0.109218
275,gsl,0.017534
275,ver1,0.150408
275,ver2,0.111649
275,gsl,0.017244
275,ver1,0.150039
275,ver2,0.112511
275,gsl,0.018012
275,ver1,0.151269
275,ver2,0.111202
275,gsl,0.017553
275,ver1,0.165181
275,ver2,0.114909
275,gsl,0.016879
275,ver1,0.149416
275,ver2,0.111140
275,gsl,0.016124
275,ver1,0.149597
275,ver2,0.108909
275,gsl,0.017546
300,ver1,0.181332
300,ver2,0.144658
300,gsl,0.022197
300,ver1,0.205421
300,ver2,0.154947
300,gsl,0.026049
300,ver1,0.202751
300,ver2,0.146230
300,gsl,0.025190
300,ver1,0.190275
300,ver2,0.142193
300,gsl,0.020674
300,ver1,0.197562
300,ver2,0.194749
300,gsl,0.025168
300,ver1,0.261054
300,ver2,0.151047
300,gsl,0.022052
300,ver1,0.186595
300,ver2,0.142301
300,gsl,0.024443
300,ver1,0.188660
300,ver2,0.147925
300,gsl,0.021316
300,ver1,0.180040
300,ver2,0.144070
300,gsl,0.020679
300,ver1,0.191440
300,ver2,0.144000
300,gsl,0.022986
