alg,x,y
polynomial,3.000000,7.000000
polynomial,3.750000,-280.315369
polynomial,4.500000,-213.424850
polynomial,5.250000,-84.952031
polynomial,6.000000,4.000000
polynomial,6.750000,39.431640
polynomial,7.500000,38.338127
polynomial,8.250000,21.857542
polynomial,9.000000,5.000000
polynomial,9.750000,-5.129629
polynomial,10.500000,-7.492539
polynomial,11.250000,-4.367589
polynomial,12.000000,1.000000
polynomial,12.750000,5.894758
polynomial,13.500000,8.778819
polynomial,14.250000,9.309626
polynomial,15.000000,8.000000
polynomial,15.750000,5.760458
polynomial,16.500000,3.492430
polynomial,17.250000,1.822461
polynomial,18.000000,1.000000
polynomial,18.750000,0.933617
polynomial,19.500000,1.314642
polynomial,20.250000,1.770715
polynomial,21.000000,2.000000
polynomial,21.750000,1.853861
polynomial,22.500000,1.356047
polynomial,23.250000,0.665066
polynomial,24.000000,-0.000000
polynomial,24.750000,-0.443440
polynomial,25.500000,-0.560476
polynomial,26.250000,-0.369350
polynomial,27.000000,-0.000000
polynomial,27.750000,0.355924
polynomial,28.500000,0.517745
polynomial,29.250000,0.388009
polynomial,30.000000,-0.000000
polynomial,30.750000,-0.478270
polynomial,31.500000,-0.790657
polynomial,32.250000,-0.681342
polynomial,33.000000,-0.000000
polynomial,33.750000,1.213954
polynomial,34.500000,2.709153
polynomial,35.250000,4.093078
polynomial,36.000000,5.000000
polynomial,36.750000,5.317063
polynomial,37.500000,5.375716
polynomial,38.250000,5.964963
polynomial,39.000000,8.000000
polynomial,39.750000,11.724105
polynomial,40.500000,15.491672
polynomial,41.250000,14.558133
polynomial,42.000000,1.000000
polynomial,42.750000,-32.947360
polynomial,43.500000,-84.025133
polynomial,44.250000,-112.731280
polynomial,45.000000,7.000000
cspline,3.000000,7.000000
cspline,3.750000,5.845255
cspline,4.500000,4.852407
cspline,5.250000,4.183356
cspline,6.000000,4.000000
cspline,6.750000,4.364838
cspline,7.500000,4.942778
cspline,8.250000,5.299329
cspline,9.000000,5.000000
cspline,9.750000,3.804768
cspline,10.500000,2.251480
cspline,11.250000,1.072453
cspline,12.000000,1.000000
cspline,12.750000,2.478590
cspline,13.500000,4.801300
cspline,14.250000,6.973360
cspline,15.000000,8.000000
cspline,15.750000,7.202746
cspline,16.500000,5.168318
cspline,17.250000,2.799731
cspline,18.000000,1.000000
cspline,18.750000,0.429174
cspline,19.500000,0.775428
cspline,20.250000,1.483967
cspline,21.000000,2.000000
cspline,21.750000,1.908682
cspline,22.500000,1.354971
cspline,23.250000,0.623775
cspline,24.000000,0.000000
cspline,24.750000,-0.298278
cspline,25.500000,-0.320312
cspline,26.250000,-0.182191
cspline,27.000000,0.000000
cspline,27.750000,0.128178
cspline,28.500000,0.176278
cspline,29.250000,0.136239
cspline,30.000000,0.000000
cspline,30.750000,-0.214435
cspline,31.500000,-0.384800
cspline,32.250000,-0.362765
cspline,33.000000,0.000000
cspline,33.750000,0.807685
cspline,34.500000,1.987920
cspline,35.250000,3.424195
cspline,36.000000,5.000000
cspline,36.750000,6.561819
cspline,37.500000,7.808119
cspline,38.250000,8.400359
cspline,39.000000,8.000000
cspline,39.750000,6.445037
cspline,40.500000,4.279604
cspline,41.250000,2.224369
cspline,42.000000,1.000000
cspline,42.750000,1.142407
cspline,43.500000,2.448465
cspline,44.250000,4.530291
cspline,45.000000,7.000000
akima,3.000000,7.000000
akima,3.750000,5.885417
akima,4.500000,5.027778
akima,5.250000,4.406250
akima,6.000000,4.000000
akima,6.750000,4.000000
akima,7.500000,4.388889
akima,8.250000,4.833333
akima,9.000000,5.000000
akima,9.750000,4.379934
akima,10.500000,3.096491
akima,11.250000,1.764803
akima,12.000000,1.000000
akima,12.750000,1.990132
akima,13.500000,4.500000
akima,14.250000,7.009868
akima,15.000000,8.000000
akima,15.750000,6.770124
akima,16.500000,4.413313
akima,17.250000,2.099845
akima,18.000000,1.000000
akima,18.750000,1.163971
akima,19.500000,1.623529
akima,20.250000,2.021324
akima,21.000000,2.000000
akima,21.750000,1.490625
akima,22.500000,0.825000
akima,23.250000,0.246875
akima,24.000000,0.000000
akima,24.750000,0.000000
akima,25.500000,0.000000
akima,26.250000,0.000000
akima,27.000000,0.000000
akima,27.750000,0.000000
akima,28.500000,0.000000
akima,29.250000,0.000000
akima,30.000000,0.000000
akima,30.750000,0.000000
akima,31.500000,0.000000
akima,32.250000,0.000000
akima,33.000000,0.000000
akima,33.750000,0.578125
akima,34.500000,1.958333
akima,35.250000,3.609375
akima,36.000000,5.000000
akima,36.750000,6.000000
akima,37.500000,6.833333
akima,38.250000,7.500000
akima,39.000000,8.000000
akima,39.750000,7.203804
akima,40.500000,4.876812
akima,41.250000,2.361413
akima,42.000000,1.000000
akima,42.750000,1.162024
akima,43.500000,2.269022
akima,44.250000,4.241508
akima,45.000000,7.000000
lagrange,3.000000,7.000000
lagrange,3.750000,-280.315369
lagrange,4.500000,-213.424850
lagrange,5.250000,-84.952031
lagrange,6.000000,4.000000
lagrange,6.750000,39.431640
lagrange,7.500000,38.338127
lagrange,8.250000,21.857542
lagrange,9.000000,5.000000
lagrange,9.750000,-5.129629
lagrange,10.500000,-7.492539
lagrange,11.250000,-4.367589
lagrange,12.000000,1.000000
lagrange,12.750000,5.894758
lagrange,13.500000,8.778819
lagrange,14.250000,9.309626
lagrange,15.000000,8.000000
lagrange,15.750000,5.760458
lagrange,16.500000,3.492430
lagrange,17.250000,1.822461
lagrange,18.000000,1.000000
lagrange,18.750000,0.933617
lagrange,19.500000,1.314642
lagrange,20.250000,1.770715
lagrange,21.000000,2.000000
lagrange,21.750000,1.853861
lagrange,22.500000,1.356046
lagrange,23.250000,0.665066
lagrange,24.000000,-0.000000
lagrange,24.750000,-0.443441
lagrange,25.500000,-0.560476
lagrange,26.250000,-0.369351
lagrange,27.000000,-0.000002
lagrange,27.750000,0.355922
lagrange,28.500000,0.517743
lagrange,29.250000,0.388004
lagrange,30.000000,-0.000003
lagrange,30.750000,-0.478274
lagrange,31.500000,-0.790662
lagrange,32.250000,-0.681348
lagrange,33.000000,-0.000006
lagrange,33.750000,1.213946
lagrange,34.500000,2.709147
lagrange,35.250000,4.093068
lagrange,36.000000,4.999983
lagrange,36.750000,5.317044
lagrange,37.500000,5.375699
lagrange,38.250000,5.964943
lagrange,39.000000,7.999979
lagrange,39.750000,11.724044
lagrange,40.500000,15.491628
lagrange,41.250000,14.558065
lagrange,42.000000,0.999948
lagrange,42.750000,-32.947383
lagrange,43.500000,-84.025194
lagrange,44.250000,-112.731361
lagrange,45.000000,6.999848
newton,3.000000,7.000000
newton,3.750000,-280.315369
newton,4.500000,-213.424850
newton,5.250000,-84.952031
newton,6.000000,4.000000
newton,6.750000,39.431640
newton,7.500000,38.338127
newton,8.250000,21.857542
newton,9.000000,5.000000
newton,9.750000,-5.129629
newton,10.500000,-7.492539
newton,11.250000,-4.367589
newton,12.000000,1.000000
newton,12.750000,5.894758
newton,13.500000,8.778819
newton,14.250000,9.309626
newton,15.000000,8.000000
newton,15.750000,5.760458
newton,16.500000,3.492430
newton,17.250000,1.822461
newton,18.000000,1.000000
newton,18.750000,0.933617
newton,19.500000,1.314642
newton,20.250000,1.770715
newton,21.000000,2.000000
newton,21.750000,1.853861
newton,22.500000,1.356047
newton,23.250000,0.665066
newton,24.000000,0.000000
newton,24.750000,-0.443440
newton,25.500000,-0.560475
newton,26.250000,-0.369349
newton,27.000000,0.000000
newton,27.750000,0.355925
newton,28.500000,0.517746
newton,29.250000,0.388009
newton,30.000000,0.000002
newton,30.750000,-0.478268
newton,31.500000,-0.790657
newton,32.250000,-0.681339
newton,33.000000,0.000007
newton,33.750000,1.213960
newton,34.500000,2.709163
newton,35.250000,4.093092
newton,36.000000,5.000007
newton,36.750000,5.317077
newton,37.500000,5.375722
newton,38.250000,5.964980
newton,39.000000,8.000028
newton,39.750000,11.724123
newton,40.500000,15.491691
newton,41.250000,14.558156
newton,42.000000,1.000037
newton,42.750000,-32.947289
newton,43.500000,-84.025100
newton,44.250000,-112.731257
newton,45.000000,7.000020
