alg,n,time
LU,25,0.058000
LU,25,0.008000
LU,25,0.006000
LU,25,0.007000
LU,25,0.006000
LU,25,0.014000
LU,25,0.006000
LU,25,0.006000
LU,25,0.006000
Cholesky,25,0.025000
Cholesky,25,0.010000
Cholesky,25,0.010000
Cholesky,25,0.009000
Cholesky,25,0.010000
Cholesky,25,0.010000
Cholesky,25,0.010000
Cholesky,25,0.009000
Cholesky,25,0.010000
Cholesky,25,0.010000
Cholesky,25,0.009000
LU,50,0.038000
LU,50,0.038000
LU,50,0.037000
LU,50,0.037000
LU,50,0.037000
LU,50,0.037000
LU,50,0.037000
LU,50,0.037000
LU,50,0.037000
Cholesky,50,0.086000
Cholesky,50,0.047000
Cholesky,50,0.047000
Cholesky,50,0.047000
Cholesky,50,0.047000
Cholesky,50,0.047000
Cholesky,50,0.048000
Cholesky,50,0.048000
Cholesky,50,0.047000
Cholesky,50,0.047000
Cholesky,50,0.048000
LU,75,0.173000
LU,75,0.134000
LU,75,0.113000
LU,75,0.112000
LU,75,0.112000
LU,75,3.077000
LU,75,0.114000
LU,75,0.124000
LU,75,0.155000
Cholesky,75,0.144000
Cholesky,75,0.130000
Cholesky,75,0.128000
Cholesky,75,0.127000
Cholesky,75,0.127000
Cholesky,75,0.161000
Cholesky,75,0.128000
Cholesky,75,0.134000
Cholesky,75,0.128000
Cholesky,75,0.128000
Cholesky,75,0.164000
LU,100,0.288000
LU,100,3.936000
LU,100,0.252000
LU,100,0.250000
LU,100,0.298000
LU,100,0.249000
LU,100,0.278000
LU,100,0.250000
LU,100,0.249000
Cholesky,100,0.306000
Cholesky,100,0.268000
Cholesky,100,0.302000
Cholesky,100,0.268000
Cholesky,100,0.300000
Cholesky,100,0.269000
Cholesky,100,0.268000
Cholesky,100,3.703000
Cholesky,100,0.270000
Cholesky,100,0.268000
Cholesky,100,0.302000
LU,125,0.499000
LU,125,2.977000
LU,125,0.511000
LU,125,0.590000
LU,125,0.469000
LU,125,0.519000
LU,125,0.833000
LU,125,0.668000
LU,125,0.613000
Cholesky,125,0.576000
Cholesky,125,6.356000
Cholesky,125,0.519000
Cholesky,125,0.499000
Cholesky,125,0.579000
Cholesky,125,0.552000
