n,fun,fft_val
1,5.000000e-01,0.000000e+00
2,4.045085e-01,-2.239918e-15
3,1.545085e-01,1.385887e-15
4,-1.545085e-01,-3.305891e-15
5,-4.045085e-01,-1.799379e-15
6,-5.000000e-01,-7.479358e-16
7,-4.045085e-01,8.477788e-16
8,-1.545085e-01,-4.566731e-15
9,1.545085e-01,3.302141e-16
10,4.045085e-01,1.250000e+01
11,5.000000e-01,-1.031396e-14
12,4.045085e-01,2.548485e-15
13,1.545085e-01,-1.866145e-15
14,-1.545085e-01,-1.805301e-15
15,-4.045085e-01,-3.729648e-16
16,-5.000000e-01,1.053908e-15
17,-4.045085e-01,-4.137674e-15
18,-1.545085e-01,2.244525e-15
19,1.545085e-01,-1.874601e-15
20,4.045085e-01,7.093973e-16
21,5.000000e-01,-4.058119e-16
22,4.045085e-01,1.300262e-15
23,1.545085e-01,-2.737453e-15
24,-1.545085e-01,5.663381e-15
25,-4.045085e-01,1.194561e-15
26,-5.000000e-01,1.148088e-15
27,-4.045085e-01,3.733271e-16
28,-1.545085e-01,3.200779e-15
29,1.545085e-01,7.926740e-17
30,4.045085e-01,1.955138e-15
31,5.000000e-01,2.802704e-15
32,4.045085e-01,-7.611848e-18
33,1.545085e-01,4.297630e-15
34,-1.545085e-01,7.124529e-16
35,-4.045085e-01,-7.892995e-16
36,-5.000000e-01,3.250438e-16
37,-4.045085e-01,4.031810e-15
38,-1.545085e-01,-2.553211e-15
39,1.545085e-01,1.026007e-15
40,4.045085e-01,-1.776357e-15
41,5.000000e-01,5.439993e-16
42,4.045085e-01,1.248341e-15
43,1.545085e-01,5.029725e-16
44,-1.545085e-01,-3.736442e-15
45,-4.045085e-01,4.989545e-16
46,-5.000000e-01,6.926955e-16
47,-4.045085e-01,-2.383370e-15
48,-1.545085e-01,-1.174921e-15
49,1.545085e-01,2.022003e-15
50,4.045085e-01,-1.776357e-15
