alg,x,y
polynomial,20.000000,2.000000
polynomial,25.000000,-320.326431
polynomial,30.000000,-234.368780
polynomial,35.000000,-88.225283
polynomial,40.000000,6.000000
polynomial,45.000000,38.791532
polynomial,50.000000,33.729320
polynomial,55.000000,15.878968
polynomial,60.000000,1.000000
polynomial,65.000000,-5.105363
polynomial,70.000000,-3.366228
polynomial,75.000000,2.332400
polynomial,80.000000,8.000000
polynomial,85.000000,11.076277
polynomial,90.000000,10.823343
polynomial,95.000000,7.967074
polynomial,100.000000,4.000000
polynomial,105.000000,0.473067
polynomial,110.000000,-1.520142
polynomial,115.000000,-1.584115
polynomial,120.000000,-0.000000
polynomial,125.000000,2.484256
polynomial,130.000000,4.952551
polynomial,135.000000,6.611471
polynomial,140.000000,7.000000
polynomial,145.000000,6.078677
polynomial,150.000000,4.194289
polynomial,155.000000,1.946192
polynomial,160.000000,-0.000000
polynomial,165.000000,-1.098635
polynomial,170.000000,-1.062774
polynomial,175.000000,0.076422
polynomial,180.000000,2.000000
polynomial,185.000000,4.208538
polynomial,190.000000,6.174313
polynomial,195.000000,7.494435
polynomial,200.000000,8.000000
polynomial,205.000000,7.786987
polynomial,210.000000,7.155634
polynomial,215.000000,6.472774
polynomial,220.000000,6.000000
polynomial,225.000000,5.751868
polynomial,230.000000,5.454262
polynomial,235.000000,4.655804
polynomial,240.000000,3.000000
polynomial,245.000000,0.593344
polynomial,250.000000,-1.685471
polynomial,255.000000,-2.175212
polynomial,260.000000,1.000000
polynomial,265.000000,8.576103
polynomial,270.000000,18.075670
polynomial,275.000000,21.699132
polynomial,280.000000,6.000000
polynomial,285.000000,-42.941932
polynomial,290.000000,-122.174861
polynomial,295.000000,-171.267650
polynomial,300.000000,9.000000
cspline,20.000000,2.000000
cspline,25.000000,3.811785
cspline,30.000000,5.298856
cspline,35.000000,6.136499
cspline,40.000000,6.000000
cspline,45.000000,4.748734
cspline,50.000000,2.978433
cspline,55.000000,1.468915
cspline,60.000000,1.000000
cspline,65.000000,2.083902
cspline,70.000000,4.162413
