alg,n,time
polynomial,25,0.584000
polynomial,25,0.779000
polynomial,25,0.298000
polynomial,25,2.478000
polynomial,25,0.272000
polynomial,25,0.272000
polynomial,25,0.271000
polynomial,25,0.289000
polynomial,25,0.272000
polynomial,25,2.424000
cspline,25,2.312000
cspline,25,0.532000
cspline,25,0.467000
cspline,25,0.497000
cspline,25,2.230000
cspline,25,0.534000
cspline,25,0.527000
cspline,25,0.565000
cspline,25,0.489000
cspline,25,0.819000
akima,25,0.500000
akima,25,0.775000
akima,25,1.891000
akima,25,0.562000
akima,25,0.742000
akima,25,0.274000
akima,25,2.684000
akima,25,0.268000
akima,25,0.269000
akima,25,2.831000
lagrange,25,0.361000
lagrange,25,0.147000
lagrange,25,0.147000
lagrange,25,0.147000
lagrange,25,0.147000
lagrange,25,0.147000
lagrange,25,0.184000
lagrange,25,0.147000
lagrange,25,0.147000
lagrange,25,3.730000
newton,25,0.148000
newton,25,0.147000
newton,25,0.147000
newton,25,0.147000
newton,25,3.554000
newton,25,0.148000
newton,25,0.147000
newton,25,0.168000
newton,25,0.147000
newton,25,3.838000
polynomial,50,6.835000
polynomial,50,1.141000
polynomial,50,1.113000
polynomial,50,1.127000
polynomial,50,1.069000
polynomial,50,4.998000
polynomial,50,0.579000
polynomial,50,0.590000
polynomial,50,0.810000
polynomial,50,2.445000
cspline,50,0.638000
cspline,50,1.180000
cspline,50,4.618000
cspline,50,0.737000
cspline,50,0.770000
cspline,50,2.514000
cspline,50,1.055000
cspline,50,1.079000
cspline,50,4.192000
cspline,50,1.591000
akima,50,5.103000
akima,50,1.074000
akima,50,1.840000
akima,50,1.192000
akima,50,1.868000
akima,50,1.017000
akima,50,1.188000
akima,50,2.239000
akima,50,1.736000
akima,50,7.069000
lagrange,50,0.865000
lagrange,50,0.649000
lagrange,50,0.659000
lagrange,50,5.467000
lagrange,50,0.645000
lagrange,50,0.658000
lagrange,50,0.657000
lagrange,50,3.745000
lagrange,50,0.665000
lagrange,50,7.929000
newton,50,0.649000
newton,50,3.123000
newton,50,0.737000
newton,50,0.814000
newton,50,5.293000
newton,50,0.645000
newton,50,0.665000
newton,50,0.667000
newton,50,0.657000
newton,50,1.557000
