alg,n,time
polynomial,15,719.000000
polynomial,15,169.000000
polynomial,15,524.000000
polynomial,15,168.000000
polynomial,15,164.000000
polynomial,15,2318.000000
polynomial,15,162.000000
polynomial,15,164.000000
polynomial,15,163.000000
polynomial,15,300.000000
cspline,15,165.000000
cspline,15,165.000000
cspline,15,166.000000
cspline,15,166.000000
cspline,15,168.000000
cspline,15,200.000000
cspline,15,166.000000
cspline,15,168.000000
cspline,15,169.000000
cspline,15,328.000000
akima,15,164.000000
akima,15,162.000000
akima,15,163.000000
akima,15,162.000000
akima,15,2037.000000
akima,15,167.000000
akima,15,178.000000
akima,15,163.000000
akima,15,165.000000
akima,15,303.000000
lagrange,15,88.000000
lagrange,15,55.000000
lagrange,15,54.000000
lagrange,15,53.000000
lagrange,15,52.000000
lagrange,15,51.000000
lagrange,15,53.000000
lagrange,15,53.000000
lagrange,15,51.000000
lagrange,15,2185.000000
newton,15,74.000000
newton,15,65.000000
newton,15,65.000000
newton,15,66.000000
newton,15,81.000000
newton,15,75.000000
newton,15,88.000000
newton,15,79.000000
newton,15,92.000000
newton,15,594.000000
