fun,a,alg,n
acos_ax,1,qag,2
acos_ax,1,qags,1
acos_ax,1,qagp,1
acos_ax,1,qag,2
acos_ax,1,qags,1
acos_ax,1,qagp,1
acos_ax,1,qawo,1
acos_ax,2,qag,1
acos_ax,2,qags,1
acos_ax,2,qagp,1
acos_ax,2,qawo,1
acos_ax,3,qag,6
acos_ax,3,qags,4
acos_ax,3,qagp,4
acos_ax,3,qawo,1
acos_ax,4,qag,2
acos_ax,4,qags,2
acos_ax,4,qagp,2
acos_ax,4,qawo,1
acos_ax,5,qag,8
acos_ax,5,qags,4
acos_ax,5,qagp,4
acos_ax,5,qawo,1
acos_ax,6,qag,1
acos_ax,6,qags,1
acos_ax,6,qagp,1
acos_ax,6,qawo,1
acos_ax,7,qag,15
acos_ax,7,qags,8
acos_ax,7,qagp,8
acos_ax,7,qawo,1
acos_ax,8,qag,4
acos_ax,8,qags,4
acos_ax,8,qagp,4
acos_ax,8,qawo,1
acos_ax,9,qag,16
acos_ax,9,qags,8
acos_ax,9,qagp,8
acos_ax,9,qawo,1
acos_ax,10,qag,1
acos_ax,10,qags,1
acos_ax,10,qagp,1
acos_ax,10,qawo,1
acos_ax,11,qag,20
acos_ax,11,qags,14
acos_ax,11,qagp,14
acos_ax,11,qawo,1
acos_ax,12,qag,2
acos_ax,12,qags,2
acos_ax,12,qagp,2
acos_ax,12,qawo,1
acos_ax,13,qag,30
acos_ax,13,qags,16
acos_ax,13,qagp,16
acos_ax,13,qawo,1
acos_ax,14,qag,1
acos_ax,14,qags,1
acos_ax,14,qagp,1
acos_ax,14,qawo,1
acos_ax,15,qag,32
acos_ax,15,qags,16
acos_ax,15,qagp,16
acos_ax,15,qawo,1
acos_ax,16,qag,8
acos_ax,16,qags,8
acos_ax,16,qagp,8
acos_ax,16,qawo,1
acos_ax,17,qag,32
acos_ax,17,qags,16
acos_ax,17,qagp,16
acos_ax,17,qawo,1
acos_ax,18,qag,1
acos_ax,18,qags,1
acos_ax,18,qagp,1
acos_ax,18,qawo,1
acos_ax,19,qag,32
acos_ax,19,qags,16
acos_ax,19,qagp,16
acos_ax,19,qawo,1
acos_ax,20,qag,2
acos_ax,20,qags,2
acos_ax,20,qagp,2
acos_ax,20,qawo,1
acos_ax,21,qag,36
acos_ax,21,qags,26
acos_ax,21,qagp,26
acos_ax,21,qawo,1
acos_ax,22,qag,1
acos_ax,22,qags,1
acos_ax,22,qagp,1
acos_ax,22,qawo,1
acos_ax,23,qag,52
acos_ax,23,qags,30
acos_ax,23,qagp,30
acos_ax,23,qawo,1
acos_ax,24,qag,4
acos_ax,24,qags,4
acos_ax,24,qagp,4
acos_ax,24,qawo,1
acos_ax,25,qag,58
acos_ax,25,qags,31
acos_ax,25,qagp,31
acos_ax,25,qawo,1
acos_ax,26,qag,1
acos_ax,26,qags,1
acos_ax,26,qagp,1
acos_ax,26,qawo,1
acos_ax,27,qag,61
acos_ax,27,qags,32
acos_ax,27,qagp,32
acos_ax,27,qawo,1
acos_ax,28,qag,2
acos_ax,28,qags,2
acos_ax,28,qagp,2
acos_ax,28,qawo,1
acos_ax,29,qag,63
acos_ax,29,qags,32
acos_ax,29,qagp,32
acos_ax,29,qawo,1
acos_ax,30,qag,1
acos_ax,30,qags,1
acos_ax,30,qagp,1
acos_ax,30,qawo,1
acos_ax,31,qag,63
acos_ax,31,qags,32
acos_ax,31,qagp,32
acos_ax,31,qawo,1
acos_ax,32,qag,16
