alg,n,time
backslash, 25, 0.000213
backslash, 50, 0.000106
backslash, 75, 0.000598
backslash, 100, 0.001171
backslash, 125, 0.006742
backslash, 150, 0.000871
backslash, 175, 0.007932
backslash, 200, 0.005619
backslash, 225, 0.009069
backslash, 250, 0.008026
backslash, 275, 0.007781
backslash, 300, 0.020359
backslash, 325, 0.018854
backslash, 350, 0.045419
backslash, 375, 0.061246
backslash, 400, 0.101428
backslash, 425, 0.099278
backslash, 450, 0.087068
backslash, 475, 0.088067
backslash, 500, 0.099710
backslash, 525, 0.109853
backslash, 550, 0.107018
backslash, 575, 0.130116
backslash, 600, 0.128815
backslash, 625, 0.189645
backslash, 650, 0.165742
backslash, 675, 0.222313
backslash, 700, 0.216812
backslash, 725, 0.233273
backslash, 750, 0.287336
backslash, 775, 0.303962
backslash, 800, 0.289033
backslash, 825, 0.340889
backslash, 850, 0.295647
backslash, 875, 0.314346
backslash, 900, 0.370143
backslash, 925, 0.338461
backslash, 950, 0.371627
backslash, 975, 0.392218
backslash, 1000, 0.458501
backslash, 1025, 0.523108
backslash, 1050, 0.525200
backslash, 1075, 0.571778
backslash, 1100, 0.552522
backslash, 1125, 0.549728
backslash, 1150, 0.575175
backslash, 1175, 0.611403
backslash, 1200, 0.625566
backslash, 1225, 0.648213
backslash, 1250, 0.653207
backslash, 1275, 0.658328
backslash, 1300, 0.771598
backslash, 1325, 0.798313
backslash, 1350, 0.914696
backslash, 1375, 0.868208
backslash, 1400, 0.920452
backslash, 1425, 0.950261
backslash, 1450, 0.936461
backslash, 1475, 1.095994
backslash, 1500, 1.095522
backslash, 1525, 1.123141
backslash, 1550, 1.192978
backslash, 1575, 1.203948
backslash, 1600, 1.185749
backslash, 1625, 1.287048
backslash, 1650, 1.331232
backslash, 1675, 1.330551
backslash, 1700, 1.388304
backslash, 1725, 1.409461
backslash, 1750, 1.472548
backslash, 1775, 1.466660
backslash, 1800, 1.551810
backslash, 1825, 1.624845
backslash, 1850, 1.633543
backslash, 1875, 1.595103
backslash, 1900, 1.601954
backslash, 1925, 1.820735
backslash, 1950, 1.880468
backslash, 1975, 1.988840
backslash, 2000, 2.019875
LU, 25, 0.001766
LU, 50, 0.000707
LU, 75, 0.000485
LU, 100, 0.003629
LU, 125, 0.000503
LU, 150, 0.006096
LU, 175, 0.001462
LU, 200, 0.003184
LU, 225, 0.009996
LU, 250, 0.008151
LU, 275, 0.009633
LU, 300, 0.014545
LU, 325, 0.013777
LU, 350, 0.044745
LU, 375, 0.070001
LU, 400, 0.057004
LU, 425, 0.073556
LU, 450, 0.085379
LU, 475, 0.102365
LU, 500, 0.098172
LU, 525, 0.116826
LU, 550, 0.117599
LU, 575, 0.133818
LU, 600, 0.120106
LU, 625, 0.172494
LU, 650, 0.163388
LU, 675, 0.214994
LU, 700, 0.230848
LU, 725, 0.229883
LU, 750, 0.296127
LU, 775, 0.291546
LU, 800, 0.301256
LU, 825, 0.297312
LU, 850, 0.322760
LU, 875, 0.362908
LU, 900, 0.353334
LU, 925, 0.391679
LU, 950, 0.411006
LU, 975, 0.450685
LU, 1000, 0.453325
LU, 1025, 0.540267
LU, 1050, 0.554060
LU, 1075, 0.574253
LU, 1100, 0.564447
LU, 1125, 0.694607
LU, 1150, 0.634490
LU, 1175, 0.677492
LU, 1200, 0.760468
LU, 1225, 0.779563
LU, 1250, 0.807271
LU, 1275, 0.851885
LU, 1300, 0.914518
LU, 1325, 0.954086
LU, 1350, 0.919894
LU, 1375, 1.057065
LU, 1400, 1.090174
LU, 1425, 1.105032
LU, 1450, 1.214332
LU, 1475, 1.190175
LU, 1500, 1.207760
LU, 1525, 1.284939
LU, 1550, 1.314067
LU, 1575, 1.452208
LU, 1600, 1.597732
LU, 1625, 1.631677
LU, 1650, 1.682998
LU, 1675, 1.639599
LU, 1700, 1.787392
LU, 1725, 1.885213
LU, 1750, 1.866124
LU, 1775, 1.897647
LU, 1800, 1.923285
LU, 1825, 2.078649
LU, 1850, 2.250237
LU, 1875, 2.085850
LU, 1900, 2.176771
LU, 1925, 2.287742
LU, 1950, 2.287059
LU, 1975, 2.399745
LU, 2000, 2.534937
