n,fun,fft_val,inv_fft
1,1.105023e+00,1.315978e+01,1.008453e+00
2,1.047325e+00,2.127541e-02,1.006463e+00
3,1.090002e+00,-3.590426e-01,1.000501e+00
4,1.082092e+00,1.008453e+02,9.905901e-01
5,1.082539e+00,3.599426e-01,9.767701e-01
6,9.757504e-01,1.671349e-01,9.590953e-01
7,9.716793e-01,-2.999745e-02,9.376354e-01
8,1.000856e+00,5.314074e-01,9.124751e-01
9,9.110285e-01,5.950587e-01,8.837137e-01
10,9.135742e-01,3.987436e-01,8.514646e-01
11,8.686916e-01,-2.163646e-02,8.158552e-01
12,8.491221e-01,4.936889e-01,7.770260e-01
13,7.745667e-01,-9.390879e-02,7.351303e-01
14,7.487222e-01,-4.573840e-01,6.903333e-01
15,7.564527e-01,-4.462520e-01,6.428118e-01
16,7.023096e-01,1.962941e-01,5.927535e-01
17,6.152908e-01,4.766750e-01,5.403559e-01
18,5.714158e-01,-3.710497e-01,4.858257e-01
19,4.434796e-01,4.090614e-01,4.293782e-01
20,4.439957e-01,-1.662553e-02,3.712361e-01
21,3.110546e-01,-3.069712e-01,3.116290e-01
22,2.790507e-01,5.024010e-01,2.507919e-01
23,2.045353e-01,4.451371e-01,1.889652e-01
24,2.258553e-01,1.842051e-01,1.263926e-01
25,8.237541e-02,5.436125e-01,6.332126e-02
26,5.011805e-02,5.383253e-01,0.000000e+00
27,-4.656671e-02,1.738839e-01,-6.332126e-02
28,-1.117321e-01,-2.741166e-01,-1.263926e-01
29,-6.251575e-02,-2.303885e-01,-1.889652e-01
30,-2.214078e-01,1.883949e-01,-2.507919e-01
31,-2.449004e-01,-3.531382e-01,-3.116290e-01
32,-2.632355e-01,7.641704e-01,-3.712361e-01
33,-3.491993e-01,-1.662711e-01,-4.293782e-01
34,-4.447497e-01,-3.196798e-01,-4.858257e-01
35,-4.561328e-01,-1.366000e-01,-5.403559e-01
36,-5.222494e-01,-2.855889e-01,-5.927535e-01
37,-5.757261e-01,-3.724400e-01,-6.428118e-01
38,-5.629502e-01,7.666469e-01,-6.903333e-01
39,-6.924040e-01,-1.692710e-01,-7.351303e-01
40,-6.740935e-01,9.383877e-02,-7.770260e-01
41,-7.431739e-01,1.894335e-01,-8.158552e-01
42,-7.480887e-01,-2.210886e-01,-8.514646e-01
43,-8.262781e-01,4.162257e-01,-8.837137e-01
44,-7.933859e-01,-4.724053e-02,-9.124751e-01
45,-8.943621e-01,2.405640e-01,-9.376354e-01
46,-9.069992e-01,-1.730176e-01,-9.590953e-01
47,-8.676176e-01,-1.473570e-01,-9.767701e-01
48,-8.674089e-01,2.576054e-01,-9.905901e-01
49,-9.833953e-01,4.409697e-01,-1.000501e+00
50,-8.793608e-01,-2.232128e-01,-1.006463e+00
51,-9.342506e-01,6.876253e-01,-1.008453e+00
52,-9.872697e-01,2.513193e-01,-1.006463e+00
53,-9.680880e-01,1.016009e-01,-1.000501e+00
54,-8.993839e-01,1.189622e-01,-9.905901e-01
55,-8.573041e-01,-3.620894e-01,-9.767701e-01
56,-9.074449e-01,-7.026622e-01,-9.590953e-01
57,-9.217551e-01,-5.158614e-02,-9.376354e-01
58,-9.023242e-01,4.957664e-01,-9.124751e-01
