n,fun,fft_val
1,1.000000e+00,-3.108624e-15
2,9.876883e-01,-2.244210e-14
3,9.510565e-01,9.222796e-15
4,8.910065e-01,2.112948e-15
5,8.090170e-01,-1.641924e-14
6,7.071068e-01,-1.606967e-14
7,5.877853e-01,6.423876e-15
8,4.539905e-01,-1.701777e-14
9,3.090170e-01,-4.765849e-15
10,1.564345e-01,1.000000e+02
11,6.123234e-17,-5.970777e-14
12,-1.564345e-01,1.253391e-14
13,-3.090170e-01,-1.117072e-14
14,-4.539905e-01,2.955802e-15
15,-5.877853e-01,1.329417e-14
16,-7.071068e-01,-4.472863e-15
17,-8.090170e-01,-2.032015e-14
18,-8.910065e-01,1.776419e-14
19,-9.510565e-01,-1.802999e-15
20,-9.876883e-01,3.818427e-15
21,-1.000000e+00,-1.177357e-15
22,-9.876883e-01,1.067089e-14
23,-9.510565e-01,-1.067716e-14
24,-8.910065e-01,4.281028e-15
25,-8.090170e-01,1.024378e-14
26,-7.071068e-01,9.014274e-15
27,-5.877853e-01,7.006733e-16
28,-4.539905e-01,5.862561e-15
29,-3.090170e-01,8.292201e-16
30,-1.564345e-01,-5.042429e-16
31,-1.836970e-16,1.045547e-14
32,1.564345e-01,-1.155294e-15
33,3.090170e-01,9.749425e-15
34,4.539905e-01,5.789409e-15
35,5.877853e-01,-1.209352e-14
36,7.071068e-01,-1.124630e-15
37,8.090170e-01,1.665975e-14
38,8.910065e-01,-8.986611e-15
39,9.510565e-01,5.171608e-15
40,9.876883e-01,-7.131498e-16
41,1.000000e+00,-1.156403e-15
42,9.876883e-01,-1.440030e-15
43,9.510565e-01,6.170062e-17
44,8.910065e-01,-1.038236e-14
45,8.090170e-01,-1.723047e-15
46,7.071068e-01,-6.761840e-16
47,5.877853e-01,-3.645387e-15
48,4.539905e-01,-1.008343e-14
49,3.090170e-01,1.152689e-15
50,1.564345e-01,-1.982621e-15
51,1.194340e-15,-1.259613e-14
52,-1.564345e-01,9.315643e-15
53,-3.090170e-01,-3.622660e-15
54,-4.539905e-01,3.814189e-15
55,-5.877853e-01,1.103887e-14
56,-7.071068e-01,-1.021321e-14
57,-8.090170e-01,2.895745e-15
58,-8.910065e-01,1.635721e-15
59,-9.510565e-01,-6.891951e-15
60,-9.876883e-01,-2.461429e-15
61,-1.000000e+00,-1.063157e-14
62,-9.876883e-01,-3.348085e-15
63,-9.510565e-01,-4.747376e-15
64,-8.910065e-01,1.137302e-14
65,-8.090170e-01,2.313952e-15
66,-7.071068e-01,-1.311072e-15
67,-5.877853e-01,-3.042357e-15
68,-4.539905e-01,2.637985e-15
69,-3.090170e-01,-9.535797e-15
70,-1.564345e-01,4.088811e-15
71,-2.204983e-15,5.006018e-15
72,1.564345e-01,4.114517e-15
73,3.090170e-01,-2.843328e-15
74,4.539905e-01,-6.577939e-15
75,5.877853e-01,-2.283199e-15
76,7.071068e-01,2.221955e-14
77,8.090170e-01,-7.465106e-15
78,8.910065e-01,2.465504e-15
79,9.510565e-01,6.675743e-15
80,9.876883e-01,-9.750537e-15
81,1.000000e+00,8.280682e-15
82,9.876883e-01,8.446679e-15
83,9.510565e-01,-2.587016e-15
84,8.910065e-01,2.143470e-15
85,8.090170e-01,-2.331842e-15
86,7.071068e-01,-4.392918e-16
87,5.877853e-01,9.064308e-15
88,4.539905e-01,6.294509e-15
89,3.090170e-01,3.209736e-15
90,1.564345e-01,-2.236848e-15
91,5.510911e-16,3.960946e-15
92,-1.564345e-01,-8.322682e-15
93,-3.090170e-01,-2.552879e-15
94,-4.539905e-01,1.985770e-14
95,-5.877853e-01,5.711445e-15
96,-7.071068e-01,-1.596817e-14
97,-8.090170e-01,1.155322e-15
98,-8.910065e-01,8.485354e-15
99,-9.510565e-01,1.297535e-14
100,-9.876883e-01,-2.664535e-15
101,-1.000000e+00,4.440892e-16
102,-9.876883e-01,-5.508160e-15
103,-9.510565e-01,8.547467e-15
104,-8.910065e-01,-1.579826e-15
105,-8.090170e-01,6.647667e-15
106,-7.071068e-01,-8.160026e-15
107,-5.877853e-01,1.026314e-15
108,-4.539905e-01,-6.913922e-15
109,-3.090170e-01,6.357740e-16
110,-1.564345e-01,-4.868579e-15
111,1.102801e-15,-3.544121e-15
112,1.564345e-01,-1.466126e-16
113,3.090170e-01,2.425379e-15
114,4.539905e-01,-1.697703e-14
115,5.877853e-01,-6.471151e-15
116,7.071068e-01,5.405045e-15
117,8.090170e-01,-2.169162e-15
118,8.910065e-01,-7.028651e-15
119,9.510565e-01,-1.382631e-14
120,9.876883e-01,1.469430e-14
121,1.000000e+00,-4.475274e-15
122,9.876883e-01,2.490549e-16
123,9.510565e-01,8.498130e-15
124,8.910065e-01,-1.461726e-15
125,8.090170e-01,-7.945333e-15
126,7.071068e-01,1.384322e-14
127,5.877853e-01,-5.113901e-16
128,4.539905e-01,6.493415e-15
129,3.090170e-01,9.182421e-15
130,1.564345e-01,1.659903e-16
131,2.572377e-15,1.863751e-15
132,-1.564345e-01,5.242656e-15
133,-3.090170e-01,8.257640e-15
134,-4.539905e-01,5.885414e-15
135,-5.877853e-01,1.733410e-14
136,-7.071068e-01,-1.824117e-14
137,-8.090170e-01,2.097821e-14
138,-8.910065e-01,-1.755183e-14
139,-9.510565e-01,-3.695274e-15
140,-9.876883e-01,-1.352578e-14
141,-1.000000e+00,2.202564e-15
142,-9.876883e-01,-1.194153e-14
143,-9.510565e-01,-8.893685e-15
144,-8.910065e-01,-1.536848e-14
145,-8.090170e-01,-1.033897e-14
146,-7.071068e-01,2.332071e-15
147,-5.877853e-01,-2.441775e-14
148,-4.539905e-01,8.915634e-16
149,-3.090170e-01,-2.212236e-15
150,-1.564345e-01,-5.122806e-15
151,-2.694842e-15,6.943796e-15
152,1.564345e-01,-9.523145e-15
153,3.090170e-01,-1.361291e-14
154,4.539905e-01,7.148861e-17
155,5.877853e-01,-2.003504e-14
156,7.071068e-01,6.072512e-15
157,8.090170e-01,-1.894939e-14
158,8.910065e-01,2.173257e-14
159,9.510565e-01,-5.963813e-15
160,9.876883e-01,2.489507e-15
161,1.000000e+00,7.325741e-15
162,9.876883e-01,9.460838e-15
163,9.510565e-01,-1.984349e-15
164,8.910065e-01,1.059313e-14
165,8.090170e-01,3.069531e-15
166,7.071068e-01,-4.664128e-15
167,5.877853e-01,1.459734e-14
168,4.539905e-01,-6.786242e-15
169,3.090170e-01,-6.838174e-15
170,1.564345e-01,1.189055e-14
171,2.817307e-15,-1.510843e-14
172,-1.564345e-01,9.135736e-15
173,-3.090170e-01,1.222083e-14
174,-4.539905e-01,-7.094845e-15
175,-5.877853e-01,-5.141341e-16
176,-7.071068e-01,2.026819e-14
177,-8.090170e-01,2.070695e-16
178,-8.910065e-01,-2.983348e-15
179,-9.510565e-01,1.304486e-14
180,-9.876883e-01,-3.087015e-15
181,-1.000000e+00,-1.068682e-14
182,-9.876883e-01,-1.226012e-15
183,-9.510565e-01,1.954513e-15
184,-8.910065e-01,5.355609e-15
185,-8.090170e-01,1.294392e-14
186,-7.071068e-01,1.811901e-17
187,-5.877853e-01,7.424303e-16
188,-4.539905e-01,1.706072e-15
189,-3.090170e-01,2.974086e-15
190,-1.564345e-01,0.000000e+00
191,6.129424e-16,1.529885e-14
192,1.564345e-01,-4.279469e-15
193,3.090170e-01,-4.218909e-15
194,4.539905e-01,-1.611494e-15
195,5.877853e-01,-5.043486e-15
196,7.071068e-01,-1.101208e-14
197,8.090170e-01,3.468138e-15
198,8.910065e-01,1.545564e-15
199,9.510565e-01,-6.292185e-15
200,9.876883e-01,8.437695e-15
