n,fun,fft_val
1,5.000000e-01,-2.473577e-13
2,4.938442e-01,-9.925106e-15
3,4.755283e-01,-7.326853e-14
4,4.455033e-01,2.307582e-15
5,4.045085e-01,-4.753612e-14
6,3.535534e-01,-6.907392e-15
7,2.938926e-01,-2.282641e-14
8,2.269952e-01,-7.232927e-15
9,1.545085e-01,-2.183500e-14
10,7.821723e-02,5.000000e+01
11,-9.184851e-17,-4.635369e-14
12,-7.821723e-02,7.369692e-15
13,-1.545085e-01,-1.871146e-14
14,-2.269952e-01,2.955976e-15
15,-2.938926e-01,-4.428220e-15
16,-3.535534e-01,-7.415648e-16
17,-4.045085e-01,-1.979209e-14
18,-4.455033e-01,1.026621e-14
19,-4.755283e-01,-9.493466e-15
20,-4.938442e-01,2.947754e-15
21,-5.000000e-01,-8.242959e-15
22,-4.938442e-01,6.610530e-15
23,-4.755283e-01,-1.226243e-14
24,-4.455033e-01,3.372867e-15
25,-4.045085e-01,-1.581717e-15
26,-3.535534e-01,5.790918e-15
27,-2.938926e-01,-5.785483e-15
28,-2.269952e-01,4.272619e-15
29,-1.545085e-01,-4.780514e-15
30,-7.821723e-02,7.505242e-16
31,-4.592425e-16,-5.374323e-16
32,7.821723e-02,7.958961e-16
33,1.545085e-01,-1.264290e-16
34,2.269952e-01,4.069672e-15
35,2.938926e-01,-1.068940e-14
36,3.535534e-01,5.148358e-16
37,4.045085e-01,4.066851e-15
38,4.455033e-01,-2.961545e-15
39,4.755283e-01,-1.586155e-15
40,4.938442e-01,-1.335434e-15
41,5.000000e-01,-2.301075e-15
42,4.938442e-01,5.696007e-16
43,4.755283e-01,-3.820662e-15
44,4.455033e-01,-4.122000e-15
45,4.045085e-01,-4.464935e-15
46,3.535534e-01,8.920997e-16
47,2.938926e-01,-5.212697e-15
48,2.269952e-01,-4.257858e-15
49,1.545085e-01,-2.474554e-15
50,7.821723e-02,1.332268e-15
51,-1.515334e-17,-8.339185e-15
52,-7.821723e-02,5.608051e-15
53,-1.545085e-01,-4.828475e-15
54,-2.269952e-01,2.963306e-15
55,-2.938926e-01,2.681099e-15
56,-3.535534e-01,-3.983224e-15
57,-4.045085e-01,-1.093099e-15
58,-4.455033e-01,2.045807e-15
59,-4.755283e-01,-5.958465e-15
60,-4.938442e-01,1.499940e-15
61,-5.000000e-01,-6.442557e-15
62,-4.938442e-01,-4.265249e-16
63,-4.755283e-01,-4.829917e-15
64,-4.455033e-01,6.768615e-15
65,-4.045085e-01,-1.098729e-15
66,-3.535534e-01,3.539852e-16
67,-2.938926e-01,-3.679649e-15
68,-2.269952e-01,2.430612e-15
69,-1.545085e-01,-7.358846e-15
70,-7.821723e-02,3.596600e-15
71,-1.959744e-15,9.368878e-16
72,7.821723e-02,3.000222e-15
73,1.545085e-01,-3.603068e-15
74,2.269952e-01,-1.947816e-15
75,2.938926e-01,-2.917142e-15
76,3.535534e-01,1.247261e-14
77,4.045085e-01,-5.499913e-15
78,4.455033e-01,2.212965e-15
79,4.755283e-01,1.607715e-15
80,4.938442e-01,-2.722034e-15
81,5.000000e-01,1.954578e-15
82,4.938442e-01,5.231055e-15
83,4.755283e-01,-2.725342e-15
84,4.455033e-01,2.337943e-15
85,4.045085e-01,-3.115250e-15
86,3.535534e-01,8.691438e-16
87,2.938926e-01,2.595563e-15
88,2.269952e-01,4.836882e-15
89,1.545085e-01,-4.431488e-16
90,7.821723e-02,2.090943e-15
91,-8.266366e-16,-1.765149e-15
92,-7.821723e-02,-2.757782e-15
93,-1.545085e-01,-2.837155e-15
94,-2.269952e-01,1.094009e-14
95,-2.938926e-01,1.518853e-15
96,-3.535534e-01,-7.076855e-15
97,-4.045085e-01,-3.883025e-16
98,-4.455033e-01,5.076599e-15
99,-4.755283e-01,5.253189e-15
100,-4.938442e-01,0.000000e+00
101,-5.000000e-01,-1.776357e-15
102,-4.938442e-01,-1.542471e-15
103,-4.755283e-01,3.419380e-15
104,-4.455033e-01,6.733975e-16
105,-4.045085e-01,1.713949e-15
106,-3.535534e-01,-2.866138e-15
107,-2.938926e-01,-1.192342e-15
108,-2.269952e-01,-2.283370e-15
109,-1.545085e-01,-8.898001e-16
110,-7.821723e-02,-2.090943e-15
111,-7.957109e-16,-4.766503e-15
112,7.821723e-02,1.431656e-15
113,1.545085e-01,4.122725e-16
114,2.269952e-01,-7.628203e-15
115,2.938926e-01,-4.118543e-15
116,3.535534e-01,3.879793e-15
117,4.045085e-01,-1.842479e-15
118,4.455033e-01,-2.361879e-15
119,4.755283e-01,-7.813506e-15
120,4.938442e-01,9.992116e-15
121,5.000000e-01,-3.304102e-15
122,4.938442e-01,1.461757e-15
123,4.755283e-01,3.538130e-15
124,4.455033e-01,4.968991e-16
125,4.045085e-01,-4.717963e-15
126,3.535534e-01,7.950270e-15
127,2.938926e-01,-9.763127e-16
128,2.269952e-01,4.013321e-15
129,1.545085e-01,3.898882e-15
130,7.821723e-02,1.868386e-15
131,-3.058522e-16,2.778259e-16
132,-7.821723e-02,3.656398e-15
133,-1.545085e-01,3.583861e-15
134,-2.269952e-01,3.847093e-15
135,-2.938926e-01,8.024474e-15
136,-3.535534e-01,-7.808303e-15
137,-4.045085e-01,1.008071e-14
138,-4.455033e-01,-7.305004e-15
139,-4.755283e-01,-2.444348e-15
140,-4.938442e-01,-5.940832e-15
141,-5.000000e-01,-7.766678e-16
142,-4.938442e-01,-4.566931e-15
143,-4.755283e-01,-4.951329e-15
144,-4.455033e-01,-6.658719e-15
145,-4.045085e-01,-5.894591e-15
146,-3.535534e-01,2.135429e-15
147,-2.938926e-01,-1.273538e-14
148,-2.269952e-01,1.228345e-15
149,-1.545085e-01,-1.713197e-15
150,-7.821723e-02,1.332268e-15
151,-3.184391e-15,1.430778e-15
152,7.821723e-02,-3.995167e-15
153,1.545085e-01,-7.048999e-15
154,2.269952e-01,1.420048e-15
155,2.938926e-01,-9.961223e-15
156,3.535534e-01,4.426467e-15
157,4.045085e-01,-9.233426e-15
158,4.455033e-01,1.234548e-14
159,4.755283e-01,-3.257760e-15
160,4.938442e-01,2.223612e-15
161,5.000000e-01,2.691176e-15
162,4.938442e-01,5.952433e-15
163,4.755283e-01,-1.042874e-15
164,4.455033e-01,7.312039e-15
165,4.045085e-01,7.522774e-16
166,3.535534e-01,-7.350158e-16
167,2.938926e-01,6.220762e-15
168,2.269952e-01,-1.855834e-15
169,1.545085e-01,-3.396537e-15
170,7.821723e-02,7.359478e-15
171,-6.732462e-16,-7.601207e-15
172,-7.821723e-02,6.413307e-15
173,-1.545085e-01,5.934316e-15
174,-2.269952e-01,-2.186998e-15
175,-2.938926e-01,1.549064e-16
176,-3.535534e-01,1.145305e-14
177,-4.045085e-01,4.505637e-16
178,-4.455033e-01,-2.333865e-16
179,-4.755283e-01,5.823140e-15
180,-4.938442e-01,1.076171e-15
181,-5.000000e-01,-2.620245e-15
182,-4.938442e-01,4.577551e-16
183,-4.755283e-01,1.056823e-15
184,-4.455033e-01,4.379354e-15
185,-4.045085e-01,5.973457e-15
186,-3.535534e-01,1.485510e-15
187,-2.938926e-01,-3.537489e-16
188,-2.269952e-01,2.147806e-15
189,-1.545085e-01,1.558340e-15
190,-7.821723e-02,3.552714e-15
191,-2.020358e-15,8.162015e-15
192,7.821723e-02,-7.400393e-16
193,1.545085e-01,-2.246797e-15
194,2.269952e-01,1.247393e-16
195,2.938926e-01,-2.395279e-15
196,3.535534e-01,-4.681686e-15
197,4.045085e-01,2.136416e-15
198,4.455033e-01,1.860634e-15
199,4.755283e-01,-3.707467e-15
200,4.938442e-01,7.549517e-15
