x,v
9.786827,-64.946270
9.156396,-127.123581
8.135586,-183.881028
6.767919,-232.798780
5.111704,-271.791247
3.237554,-299.196001
1.225371,-313.844652
-0.839054,-315.112659
-2.867707,-302.945962
-4.774096,-277.863283
-6.476944,-240.934012
-7.903649,-193.732614
-8.993386,-138.271502
-9.699693,-76.915239
-9.992458,-12.279725
-9.859198,52.879330
-9.305595,115.783895
-8.355251,173.752060
-7.048685,224.312374
-5.441601,265.309218
-3.602516,294.994708
-1.609840,312.103215
0.451472,315.905323
2.493535,306.238933
4.429287,283.516166
6.176198,248.705798
7.659790,203.291957
8.816809,149.210843
9.597927,88.768183
9.969842,24.540927
9.916696,-40.732622
9.440755,-104.269552
8.562312,-163.360990
7.318818,-215.487597
5.763289,-258.426975
3.962044,-290.348420
1.991880,-309.890975
-0.063208,-316.221449
-2.115601,-309.069947
-4.077796,-288.741369
-5.866136,-256.102416
-7.404376,-212.544637
-8.626932,-159.925101
-9.481683,-100.487222
-9.932186,-36.765109
-9.959235,28.524470
-9.561675,92.597919
-8.756457,152.723492
-7.577911,206.337759
-6.076283,251.154898
-4.315596,285.264145
-2.370915,307.211268
-0.325151,316.060560
1.734476,311.434733
3.720154,293.531010
5.547225,263.112707
7.137792,221.476697
8.424042,170.398115
9.351136,112.054677
9.879549,48.933831
9.986750,-16.273289
9.668171,-80.786603
8.937393,-141.855613
7.825572,-196.876665
6.380112,-243.503957
4.662637,-279.749554
2.746374,-304.068138
0.713019,-315.422897
-1.350735,-313.329725
-3.356900,-297.877863
-5.219946,-269.726096
-6.860441,-230.074662
-8.208444,-180.614086
-9.206483,-123.453099
-9.812008,-61.028738
-9.999201,3.997560
-9.760082,68.853423
-9.104846,130.773747
-8.061429,187.118584
-6.674316,235.485694
-5.002645,273.812964
-3.117689,300.466326
-1.099812,314.309424
0.964955,314.752063
2.988582,301.775372
4.884792,275.932607
6.572741,238.325563
7.980464,190.557603
9.047942,134.665294
9.729665,73.031583
9.996568,8.284200
9.837271,-56.816377
9.258566,-119.494611
8.285125,-177.078238
6.958451,-227.112205
5.335107,-267.463332
3.484302,-296.411264
1.484946,-312.721820
-0.577721,-315.699603
-2.615756,-305.217658
-4.542270,-281.722878
-6.275126,-246.216954
-7.740445,-200.213667
-8.875753,-145.674349
-9.632646,-84.924262
-9.978855,-20.553463
-9.899620,44.693625
-9.398319,108.035218
-8.496323,166.770772
-7.232091,218.396120
-5.659521,260.710235
-3.845659,291.909071
-1.867840,310.662479
0.189615,316.170914
2.238985,308.199527
4.192897,287.088174
5.968046,253.736930
7.488750,209.567711
8.690174,156.463655
9.521096,96.688833
9.946090,32.791721
9.947036,-32.503454
9.523894,-96.412856
8.694705,-156.211735
7.494820,-209.350587
5.975397,-253.563860
4.201215,-286.966537
2.247916,-308.134508
