x,v
10.000000,0.000000
10.000000,-0.000100
10.000000,-0.000200
10.000000,-0.000300
10.000000,-0.000400
10.000000,-0.000500
10.000000,-0.000600
10.000000,-0.000700
10.000000,-0.000800
10.000000,-0.000900
10.000000,-0.001000
10.000000,-0.001100
10.000000,-0.001200
10.000000,-0.001300
10.000000,-0.001400
10.000000,-0.001500
10.000000,-0.001600
10.000000,-0.001700
10.000000,-0.001800
10.000000,-0.001900
10.000000,-0.002000
10.000000,-0.002100
10.000000,-0.002200
10.000000,-0.002300
10.000000,-0.002400
10.000000,-0.002500
10.000000,-0.002600
10.000000,-0.002700
10.000000,-0.002800
10.000000,-0.002900
10.000000,-0.003000
10.000000,-0.003100
10.000000,-0.003200
10.000000,-0.003300
10.000000,-0.003400
10.000000,-0.003500
10.000000,-0.003600
10.000000,-0.003700
10.000000,-0.003800
10.000000,-0.003900
10.000000,-0.004000
10.000000,-0.004100
10.000000,-0.004200
10.000000,-0.004300
10.000000,-0.004400
10.000000,-0.004500
10.000000,-0.004600
10.000000,-0.004700
10.000000,-0.004800
10.000000,-0.004900
10.000000,-0.005000
10.000000,-0.005100
10.000000,-0.005200
10.000000,-0.005300
10.000000,-0.005400
10.000000,-0.005500
10.000000,-0.005600
10.000000,-0.005700
10.000000,-0.005800
10.000000,-0.005900
10.000000,-0.006000
10.000000,-0.006100
10.000000,-0.006200
10.000000,-0.006300
10.000000,-0.006400
10.000000,-0.006500
10.000000,-0.006600
10.000000,-0.006700
10.000000,-0.006800
10.000000,-0.006900
10.000000,-0.007000
10.000000,-0.007100
10.000000,-0.007200
10.000000,-0.007300
10.000000,-0.007400
10.000000,-0.007500
10.000000,-0.007600
10.000000,-0.007700
10.000000,-0.007800
10.000000,-0.007900
10.000000,-0.008000
10.000000,-0.008100
10.000000,-0.008200
10.000000,-0.008300
10.000000,-0.008400
10.000000,-0.008500
10.000000,-0.008600
10.000000,-0.008700
10.000000,-0.008800
10.000000,-0.008900
10.000000,-0.009000
10.000000,-0.009100
10.000000,-0.009200
10.000000,-0.009300
10.000000,-0.009400
